,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
18,18,18,398355.6629939258,5937774.984215422,482.195,-124.265,-5.228,53.5789678041644,103.46474610416637,464.772
19,19,19,398353.1299939258,5937774.646215421,479.662,-124.603,-5.024,53.57896427626592,103.46470797044435,464.976
20,20,20,398349.94299392577,5937779.517215421,476.475,-119.732,-5.022,53.57900742615968,103.46465826625541,464.978
21,21,21,398343.73699392576,5937782.410215422,470.269,-116.839,-4.326,53.57903221797098,103.46456362451258,465.674
22,22,22,398337.5109939258,5937786.1542154215,464.043,-113.095,-3.807,53.579064652338914,103.46446840354325,466.193
23,23,23,398334.2659939258,5937786.754215421,460.798,-112.495,-3.64,53.57906941458027,103.4644192143106,466.36
24,24,24,398327.2619939258,5937789.6712154215,453.794,-109.578,-3.347,53.579094267165516,103.4643125160645,466.653
25,25,25,398322.5359939258,5937792.016215421,449.068,-107.233,-3.278,53.57911442164093,103.46424039786406,466.722
26,26,26,398315.13299392577,5937794.962215422,441.665,-104.287,-3.232,53.57913945728854,103.46412766574423,466.768
27,27,27,398309.50299392577,5937797.500215421,436.035,-101.749,-3.422,53.57916117055777,103.4640418356615,466.578
28,28,28,398302.7519939258,5937800.656215421,429.284,-98.593,-3.647,53.57918821934731,103.46393887897143,466.353
29,29,29,398296.6199939258,5937804.561215421,423.152,-94.688,-3.789,53.579222118073986,103.46384502396516,466.211
30,30,30,398288.7499939258,5937808.385215421,415.282,-90.864,-4.204,53.57925495189721,103.46372495433498,465.796
31,31,31,398284.1639939258,5937811.621215422,410.696,-87.628,-4.468,53.57928313908131,103.46365465901647,465.532
